techno;name;environment;selectors;min;max;patterns;type;classification
Java;Spring Session;import;;;;org.springframework.session;pattern;
Java;JSoup;import;;;;org.jsoup;pattern;
Java;Jackcess;import;;;;com.healthmarketscience.jackcess;pattern;
Java;JideSoft;import;;;;com.jidesoft;pattern;
Java;Apache Crunch;import;;;;org.apache.crunch;pattern;
Java;BlueCove;import;;;;net.sf.bluecove;pattern;
Java;Ejml (Efficient Java Matrix Library);import;;;;org.ejml;pattern;
Java;ActFramework;import;;;;act.session;pattern;
Java;WSO2 Identity Server;import;;;;org.wso2.carbon.identity;pattern;
Java;Grails;import;;;;grails;pattern;
Java;Slick2D;import;;;;org.newdawn.slick;pattern;

Java;Sax;import;;;;org.xml.sax;pattern;
Java;ZKoss;import;;;;org.zkoss;pattern;
Java;OrientDB;import;;;;com.orientechnologies;pattern;
Java;JRockit;import;;;;com.jrockit;pattern;
Java;Apache CXF;import;;;;org.apache.cxf;pattern;
Java;OpenXava;import;;;;org.openxava;pattern;
Java;Apache Velocity;import;;;;org.apache.velocity;pattern;
Java;GeoApi;import;;;;org.opengis;pattern;
Java;WordCram;import;;;;wordcram;pattern;
Java;Apache Commons Digester;import;;;;org.apache.commons.digester3;pattern;
Java;Spring LDAP;import;;;;org.springframework.ldap;pattern;
Java;WSO2 Governance Registry;import;;;;org.wso2.carbon.governance;pattern;
Java;Apache Hive;import;;;;org.apache.hive;pattern;
Java;Apache Wink;import;;;;org.apache.wink;pattern;
Java;JHipster;import;;;;io.github.jhipster;pattern;
Java;Apache DataFu;import;;;;org.apache.datafu;pattern;
Java;ORMLite;import;;;;com.j256.ormlite;pattern;
Java;EHCache;import;;3.x;;org.ehcache;pattern;
Java;EHCache;import;;1.x;2.x;net.sf.ehcache;pattern;
Java;EHCache;import;;2.x;2.x;org.springframework.cache.ehcache;pattern;
Java;EHCache;import;;;;com.googlecode.ehcache;pattern;
Java;Drools;import;;;;org.drools.core;pattern;
Java;Netty;import;;;;io.netty;pattern;
Java;Apache JackRabbit;import;;;;org.apache.jackrabbit;pattern;
Java;Jetty;import;;;;org.eclipse.jetty;pattern;
Java;Apache JavaNlp;import;;;;opennlp;pattern;
Java;JProfiler;import;;;;com.jprofiler;pattern;
Java;GCViewer;import;;;;com.mgmtp.gcviewer;pattern;
